X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
357540.1268,172520.2358,5324,120048132,2024-07,violent-crime,Force,,-2.612411,51.450063,2277551,On or near Old School Lane,Under investigation,2024-07
358688.1001,172933.1534,5325,120047721,2024-07,violent-crime,Force,,-2.595940,51.453861,2278638,On or near Clare Street,Under investigation,2024-07
362784.0124,174339.212400001,5326,120047728,2024-07,violent-crime,Force,,-2.537143,51.466788,2282309,On or near Mallard Close,Under investigation,2024-07
357099.1616,178773.144200001,5327,120047215,2024-07,violent-crime,Force,,-2.619518,51.506250,2277038,On or near Edington Grove,Unable to prosecute suspect,2024-07
358782.0947,173264.1501,5328,120047223,2024-07,violent-crime,Force,,-2.594626,51.456844,2278704,On or near Rupert Street,Under investigation,2024-07
358843.139,172307.182,5329,120047224,2024-07,violent-crime,Force,,-2.593636,51.448244,2278773,On or near Redcliffe Parade West,Under investigation,2024-07
361997.0518,168299.274599999,5330,120047553,2024-07,violent-crime,Force,,-2.547821,51.412429,2281478,On or near Maple Close,Under investigation,2024-07
358543.215,171581.2271,5331,120047561,2024-07,violent-crime,Force,,-2.597867,51.441695,2278505,On or near East Street,Under investigation,2024-07
362004.0081,173429.1885,5332,120047564,2024-07,violent-crime,Force,,-2.548273,51.458554,2281641,On or near Hedwick Street,Under investigation,2024-07
362318.0494,172500.1734,5333,120047569,2024-07,violent-crime,Force,,-2.543654,51.450222,2281911,On or near Lichfield Road,Under investigation,2024-07
358883.0689,167530.214299999,5334,120047235,2024-07,violent-crime,Force,,-2.592504,51.405297,2278833,On or near The Groves,Under investigation,2024-07
359561.1513,171664.212200001,5335,120047242,2024-07,violent-crime,Force,,-2.583231,51.442515,2279453,On or near St Luke's Crescent,Under investigation,2024-07
363141.062,176330.113299999,5336,120047251,2024-07,violent-crime,Force,,-2.532212,51.484712,2282471,On or near College Court,Under investigation,2024-07
355214.2523,177119.090700001,5337,120047255,2024-07,violent-crime,Force,,-2.646465,51.491232,2275972,On or near Ashcroft Road,Under investigation,2024-07
361008.0284,168770.184699999,5338,120047276,2024-07,violent-crime,Force,,-2.562093,51.416596,2280745,On or near Fossedale Avenue,Under investigation,2024-07
356625.1639,167639.239,5339,120047279,2024-07,violent-crime,Force,,-2.624978,51.406108,2276688,On or near Borleyton Walk,Under investigation,2024-07
358211.2549,171230.1327,5340,120047758,2024-07,violent-crime,Force,,-2.602602,51.438514,2278148,On or near Cromwell Street,Under investigation,2024-07
359107.9884,168236.1897,5341,120047773,2024-07,violent-crime,Force,,-2.589352,51.411661,2278947,On or near Whitchurch Lane,Unable to prosecute suspect,2024-07
359773.9927,169224.1886,5342,120047788,2024-07,violent-crime,Force,,-2.579889,51.420592,2279671,On or near Heatherdene,Under investigation,2024-07
359107.9884,168236.1897,5343,120048336,2024-07,violent-crime,Force,,-2.589352,51.411661,2278947,On or near Whitchurch Lane,Under investigation,2024-07
358431.1038,173048.141000001,5344,120047793,2024-07,violent-crime,Force,,-2.599652,51.454876,2278382,On or near Parking Area,Under investigation,2024-07
356922.2128,177312.168500001,5345,120047800,2024-07,violent-crime,Force,,-2.621889,51.493101,2276909,On or near Falcondale Road,Under investigation,2024-07
358369.0831,168740.1324,5346,120047913,2024-07,violent-crime,Force,,-2.600036,51.416138,2278321,On or near Parking Area,Under investigation,2024-07
359540.1111,172428.244999999,5347,120048131,2024-07,violent-crime,Force,,-2.583621,51.449383,2279295,On or near Parking Area,Under investigation,2024-07
356987.2438,176891.192600001,5348,120048178,2024-07,violent-crime,Force,,-2.620901,51.489321,2276886,On or near Downs Cote Avenue,Under investigation,2024-07
358376.0751,167652.136,5349,120048179,2024-07,violent-crime,Force,,-2.599807,51.406356,2278374,On or near Silcox Road,Under investigation,2024-07
358383.0616,167213.209000001,5350,120048191,2024-07,violent-crime,Force,,-2.599655,51.402410,2278379,On or near Aldwick Avenue,Under investigation,2024-07
